resume_id,user_id,education,major,years_experience,city,current_job,current_job_name,target_job,target_job_name,skills,skill_levels,work_experience,project_experience,self_introduction,resume_text,source
CR0001,u001,本科,计算机科学与技术,0,北京,15-1251.00,计算机程序员,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.459159, ""2.A.1.b"": 0.600989, ""2.A.1.c"": 0.40803, ""2.A.1.d"": 0.424424, ""2.A.1.e"": 0.405884, ""2.A.1.f"": 0.40054, ""2.A.2.a"": 0.548992, ""2.A.2.b"": 0.405491, ""2.A.2.c"": 0.380676, ""2.A.2.d"": 0.388196, ""2.B.1.a"": 0.465556, ""2.B.1.b"": 0.359894, ""2.B.1.c"": 0.333859, ""2.B.1.d"": 0.35858, ""2.B.1.e"": 0.290655, ""2.B.1.f"": 0.304924, ""2.B.2.i"": 0.551665, ""2.B.3.a"": 0.534968, ""2.B.3.b"": 0.356588, ""2.B.3.c"": 0.218342, ""2.B.3.d"": 0.219433, ""2.B.3.e"": 0.711821, ""2.B.3.g"": 0.350255, ""2.B.3.h"": 0.220117, ""2.B.3.j"": 0.225436, ""2.B.3.k"": 0.336476, ""2.B.3.l"": 0.253164, ""2.B.3.m"": 0.4872, ""2.B.4.e"": 0.417804, ""2.B.4.g"": 0.577144, ""2.B.4.h"": 0.461365, ""2.B.5.a"": 0.501267, ""2.B.5.b"": 0.258205, ""2.B.5.c"": 0.270273, ""2.B.5.d"": 0.393552}",在北京参与计算机程序员工作0年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责计算机程序员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。,我具备本科学历，专业为计算机科学与技术，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜计算机科学与技术
工作经历：在北京参与计算机程序员工作0年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责计算机程序员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备本科学历，专业为计算机科学与技术，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0002,u002,本科,软件工程,7,上海,15-1254.00,网页开发工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.560903, ""2.A.1.b"": 0.548095, ""2.A.1.c"": 0.412268, ""2.A.1.d"": 0.48722, ""2.A.1.e"": 0.400542, ""2.A.1.f"": 0.31304, ""2.A.2.a"": 0.588935, ""2.A.2.b"": 0.498034, ""2.A.2.c"": 0.361135, ""2.A.2.d"": 0.424454, ""2.B.1.a"": 0.41484, ""2.B.1.b"": 0.453049, ""2.B.1.c"": 0.426134, ""2.B.1.d"": 0.465852, ""2.B.1.e"": 0.462597, ""2.B.1.f"": 0.359335, ""2.B.2.i"": 0.511973, ""2.B.3.a"": 0.630188, ""2.B.3.b"": 0.338356, ""2.B.3.c"": 0.261852, ""2.B.3.d"": 0.309624, ""2.B.3.e"": 0.616897, ""2.B.3.g"": 0.322234, ""2.B.3.h"": 0.264283, ""2.B.3.j"": 0.171153, ""2.B.3.k"": 0.364254, ""2.B.3.l"": 0.120369, ""2.B.3.m"": 0.446526, ""2.B.4.e"": 0.503682, ""2.B.4.g"": 0.520864, ""2.B.4.h"": 0.427296, ""2.B.5.a"": 0.356565, ""2.B.5.b"": 0.246583, ""2.B.5.c"": 0.234815, ""2.B.5.d"": 0.32952}",在上海参与网页开发工程师工作7年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。,我具备本科学历，专业为软件工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜软件工程
工作经历：在上海参与网页开发工程师工作7年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备本科学历，专业为软件工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0003,u003,硕士,数据科学与大数据技术,3,广州,15-1242.00,数据库管理员,15-2051.00,数据科学家,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、物资资源管理、人员资源管理,"{""2.A.1.a"": 0.680837, ""2.A.1.b"": 0.533496, ""2.A.1.c"": 0.512622, ""2.A.1.d"": 0.492007, ""2.A.1.e"": 0.583866, ""2.A.1.f"": 0.318784, ""2.A.2.a"": 0.552348, ""2.A.2.b"": 0.525937, ""2.A.2.c"": 0.429372, ""2.A.2.d"": 0.461972, ""2.B.1.a"": 0.465132, ""2.B.1.b"": 0.432676, ""2.B.1.c"": 0.369204, ""2.B.1.d"": 0.223435, ""2.B.1.e"": 0.429803, ""2.B.1.f"": 0.359764, ""2.B.2.i"": 0.52154, ""2.B.3.a"": 0.481095, ""2.B.3.b"": 0.389307, ""2.B.3.c"": 0.275466, ""2.B.3.d"": 0.165672, ""2.B.3.e"": 0.460978, ""2.B.3.g"": 0.414261, ""2.B.3.h"": 0.244031, ""2.B.3.j"": 0.178506, ""2.B.3.k"": 0.306523, ""2.B.3.l"": 0.154181, ""2.B.3.m"": 0.34791, ""2.B.4.e"": 0.52268, ""2.B.4.g"": 0.500791, ""2.B.4.h"": 0.445409, ""2.B.5.a"": 0.386886, ""2.B.5.b"": 0.366749, ""2.B.5.c"": 0.303301, ""2.B.5.d"": 0.476592}",在广州参与数据库管理员工作3年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责数据库管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。,我具备硕士学历，专业为数据科学与大数据技术，目标方向是数据科学家。重视工程质量、团队协作和持续学习。,"求职方向：数据科学家
教育背景：硕士｜数据科学与大数据技术
工作经历：在广州参与数据库管理员工作3年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责数据库管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理、物资资源管理、人员资源管理
自我评价：我具备硕士学历，专业为数据科学与大数据技术，目标方向是数据科学家。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0004,u004,大专,网络工程,10,深圳,15-1244.00,网络与计算机系统管理员,15-1212.00,信息安全分析师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理,"{""2.A.1.a"": 0.631476, ""2.A.1.b"": 0.515175, ""2.A.1.c"": 0.494278, ""2.A.1.d"": 0.519066, ""2.A.1.e"": 0.467826, ""2.A.1.f"": 0.269871, ""2.A.2.a"": 0.520905, ""2.A.2.b"": 0.488564, ""2.A.2.c"": 0.405482, ""2.A.2.d"": 0.560317, ""2.B.1.a"": 0.380194, ""2.B.1.b"": 0.419261, ""2.B.1.c"": 0.311469, ""2.B.1.d"": 0.413011, ""2.B.1.e"": 0.397418, ""2.B.1.f"": 0.41525, ""2.B.2.i"": 0.603417, ""2.B.3.a"": 0.458195, ""2.B.3.b"": 0.309541, ""2.B.3.c"": 0.432959, ""2.B.3.d"": 0.338411, ""2.B.3.e"": 0.503821, ""2.B.3.g"": 0.477388, ""2.B.3.h"": 0.450344, ""2.B.3.j"": 0.421127, ""2.B.3.k"": 0.5407, ""2.B.3.l"": 0.435688, ""2.B.3.m"": 0.522551, ""2.B.4.e"": 0.550898, ""2.B.4.g"": 0.55706, ""2.B.4.h"": 0.57051, ""2.B.5.a"": 0.564919, ""2.B.5.b"": 0.265019, ""2.B.5.c"": 0.377568, ""2.B.5.d"": 0.463976}",在深圳参与网络与计算机系统管理员工作10年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网络与计算机系统管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。,我具备大专学历，专业为网络工程，目标方向是信息安全分析师。重视工程质量、团队协作和持续学习。,"求职方向：信息安全分析师
教育背景：大专｜网络工程
工作经历：在深圳参与网络与计算机系统管理员工作10年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网络与计算机系统管理员相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、物资资源管理、人员资源管理
自我评价：我具备大专学历，专业为网络工程，目标方向是信息安全分析师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0005,u005,本科,信息安全,6,杭州,15-1253.00,软件质量保证分析师与测试工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.649993, ""2.A.1.b"": 0.658595, ""2.A.1.c"": 0.651369, ""2.A.1.d"": 0.616829, ""2.A.1.e"": 0.353555, ""2.A.1.f"": 0.452954, ""2.A.2.a"": 0.592549, ""2.A.2.b"": 0.419009, ""2.A.2.c"": 0.402701, ""2.A.2.d"": 0.527407, ""2.B.1.a"": 0.482697, ""2.B.1.b"": 0.410322, ""2.B.1.c"": 0.437418, ""2.B.1.d"": 0.347765, ""2.B.1.e"": 0.430525, ""2.B.1.f"": 0.296071, ""2.B.2.i"": 0.426213, ""2.B.3.a"": 0.4371, ""2.B.3.b"": 0.362192, ""2.B.3.c"": 0.282312, ""2.B.3.d"": 0.324703, ""2.B.3.e"": 0.503286, ""2.B.3.g"": 0.432695, ""2.B.3.h"": 0.259081, ""2.B.3.j"": 0.268653, ""2.B.3.k"": 0.396425, ""2.B.3.l"": 0.238473, ""2.B.3.m"": 0.444923, ""2.B.4.e"": 0.57225, ""2.B.4.g"": 0.363956, ""2.B.4.h"": 0.40597, ""2.B.5.a"": 0.415517, ""2.B.5.b"": 0.248881, ""2.B.5.c"": 0.152244, ""2.B.5.d"": 0.320848}",在杭州参与软件质量保证分析师与测试工程师工作6年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。,我具备本科学历，专业为信息安全，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜信息安全
工作经历：在杭州参与软件质量保证分析师与测试工程师工作6年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、安装、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备本科学历，专业为信息安全，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0006,u006,本科,计算机科学与技术,2,成都,15-1211.00,计算机系统分析师,15-2051.00,数据科学家,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理,"{""2.A.1.a"": 0.659814, ""2.A.1.b"": 0.569666, ""2.A.1.c"": 0.505647, ""2.A.1.d"": 0.546712, ""2.A.1.e"": 0.407214, ""2.A.1.f"": 0.312977, ""2.A.2.a"": 0.523268, ""2.A.2.b"": 0.58033, ""2.A.2.c"": 0.368661, ""2.A.2.d"": 0.494444, ""2.B.1.a"": 0.389342, ""2.B.1.b"": 0.475808, ""2.B.1.c"": 0.425012, ""2.B.1.d"": 0.329163, ""2.B.1.e"": 0.444728, ""2.B.1.f"": 0.352103, ""2.B.2.i"": 0.429069, ""2.B.3.a"": 0.454421, ""2.B.3.b"": 0.375143, ""2.B.3.c"": 0.38389, ""2.B.3.d"": 0.23258, ""2.B.3.e"": 0.503622, ""2.B.3.g"": 0.499701, ""2.B.3.h"": 0.355461, ""2.B.3.j"": 0.311115, ""2.B.3.k"": 0.461172, ""2.B.3.l"": 0.331064, ""2.B.3.m"": 0.456246, ""2.B.4.e"": 0.54023, ""2.B.4.g"": 0.609796, ""2.B.4.h"": 0.598379, ""2.B.5.a"": 0.435763, ""2.B.5.b"": 0.209764, ""2.B.5.c"": 0.215714, ""2.B.5.d"": 0.458099}",在成都参与计算机系统分析师工作2年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责计算机系统分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。,我具备本科学历，专业为计算机科学与技术，目标方向是数据科学家。重视工程质量、团队协作和持续学习。,"求职方向：数据科学家
教育背景：本科｜计算机科学与技术
工作经历：在成都参与计算机系统分析师工作2年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责计算机系统分析师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用计算机科学与技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、设备选型、编程、运营监控、操作与控制、设备维护、故障排查、修复、质量控制分析、判断与决策、系统分析、系统评估、时间管理、人员资源管理
自我评价：我具备本科学历，专业为计算机科学与技术，目标方向是数据科学家。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0007,u007,硕士,软件工程,9,武汉,15-1252.00,软件开发工程师,15-1253.00,软件质量保证分析师与测试工程师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、技术设计、运营监控、故障排查、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理,"{""2.A.1.a"": 0.576348, ""2.A.1.b"": 0.537945, ""2.A.1.c"": 0.532188, ""2.A.1.d"": 0.466871, ""2.A.1.e"": 0.418403, ""2.A.1.f"": 0.195901, ""2.A.2.a"": 0.603068, ""2.A.2.b"": 0.466373, ""2.A.2.c"": 0.502614, ""2.A.2.d"": 0.489475, ""2.B.1.a"": 0.359692, ""2.B.1.b"": 0.412035, ""2.B.1.c"": 0.323672, ""2.B.1.d"": 0.390218, ""2.B.1.e"": 0.443661, ""2.B.1.f"": 0.400141, ""2.B.2.i"": 0.473717, ""2.B.3.a"": 0.264721, ""2.B.3.b"": 0.501891, ""2.B.3.c"": 0.20677, ""2.B.3.d"": 0.21868, ""2.B.3.e"": 0.217189, ""2.B.3.g"": 0.378195, ""2.B.3.h"": 0.158501, ""2.B.3.j"": 0.218223, ""2.B.3.k"": 0.340613, ""2.B.3.l"": 0.199717, ""2.B.3.m"": 0.189377, ""2.B.4.e"": 0.52756, ""2.B.4.g"": 0.577849, ""2.B.4.h"": 0.596244, ""2.B.5.a"": 0.417857, ""2.B.5.b"": 0.289923, ""2.B.5.c"": 0.263912, ""2.B.5.d"": 0.399599}",在武汉参与软件开发工程师工作9年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责软件开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。,我具备硕士学历，专业为软件工程，目标方向是软件质量保证分析师与测试工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件质量保证分析师与测试工程师
教育背景：硕士｜软件工程
工作经历：在武汉参与软件开发工程师工作9年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责软件开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用软件工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、技术设计、运营监控、故障排查、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理
自我评价：我具备硕士学历，专业为软件工程，目标方向是软件质量保证分析师与测试工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0008,u008,大专,数据科学与大数据技术,5,西安,15-1253.00,软件质量保证分析师与测试工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、操作与控制、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理,"{""2.A.1.a"": 0.556581, ""2.A.1.b"": 0.647124, ""2.A.1.c"": 0.54498, ""2.A.1.d"": 0.649436, ""2.A.1.e"": 0.43662, ""2.A.1.f"": 0.327589, ""2.A.2.a"": 0.486961, ""2.A.2.b"": 0.483565, ""2.A.2.c"": 0.479592, ""2.A.2.d"": 0.448485, ""2.B.1.a"": 0.353421, ""2.B.1.b"": 0.464337, ""2.B.1.c"": 0.368367, ""2.B.1.d"": 0.283612, ""2.B.1.e"": 0.379515, ""2.B.1.f"": 0.37944, ""2.B.2.i"": 0.447716, ""2.B.3.a"": 0.529503, ""2.B.3.b"": 0.376078, ""2.B.3.c"": 0.207619, ""2.B.3.d"": 0.278057, ""2.B.3.e"": 0.53342, ""2.B.3.g"": 0.404528, ""2.B.3.h"": 0.314756, ""2.B.3.j"": 0.214951, ""2.B.3.k"": 0.387908, ""2.B.3.l"": 0.232672, ""2.B.3.m"": 0.579957, ""2.B.4.e"": 0.523959, ""2.B.4.g"": 0.423303, ""2.B.4.h"": 0.469367, ""2.B.5.a"": 0.426206, ""2.B.5.b"": 0.250836, ""2.B.5.c"": 0.178695, ""2.B.5.d"": 0.242685}",在西安参与软件质量保证分析师与测试工程师工作5年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。,我具备大专学历，专业为数据科学与大数据技术，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：大专｜数据科学与大数据技术
工作经历：在西安参与软件质量保证分析师与测试工程师工作5年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责软件质量保证分析师与测试工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用数据科学与大数据技术知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、科学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、操作与控制、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理
自我评价：我具备大专学历，专业为数据科学与大数据技术，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0009,u009,本科,网络工程,1,北京,15-1254.00,网页开发工程师,15-1252.00,软件开发工程师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、设备选型、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理,"{""2.A.1.a"": 0.643329, ""2.A.1.b"": 0.521607, ""2.A.1.c"": 0.491139, ""2.A.1.d"": 0.390354, ""2.A.1.e"": 0.296566, ""2.A.1.f"": 0.259878, ""2.A.2.a"": 0.51, ""2.A.2.b"": 0.45081, ""2.A.2.c"": 0.34163, ""2.A.2.d"": 0.491583, ""2.B.1.a"": 0.366856, ""2.B.1.b"": 0.38367, ""2.B.1.c"": 0.461589, ""2.B.1.d"": 0.438579, ""2.B.1.e"": 0.477132, ""2.B.1.f"": 0.449958, ""2.B.2.i"": 0.515475, ""2.B.3.a"": 0.522089, ""2.B.3.b"": 0.244781, ""2.B.3.c"": 0.291575, ""2.B.3.d"": 0.194137, ""2.B.3.e"": 0.612405, ""2.B.3.g"": 0.345661, ""2.B.3.h"": 0.15185, ""2.B.3.j"": 0.200646, ""2.B.3.k"": 0.37281, ""2.B.3.l"": 0.1522, ""2.B.3.m"": 0.408694, ""2.B.4.e"": 0.43795, ""2.B.4.g"": 0.554296, ""2.B.4.h"": 0.431129, ""2.B.5.a"": 0.375128, ""2.B.5.b"": 0.307982, ""2.B.5.c"": 0.274166, ""2.B.5.d"": 0.274578}",在北京参与网页开发工程师工作1年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。,我具备本科学历，专业为网络工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。,"求职方向：软件开发工程师
教育背景：本科｜网络工程
工作经历：在北京参与网页开发工程师工作1年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网页开发工程师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用网络工程知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、设备选型、编程、运营监控、故障排查、质量控制分析、判断与决策、系统分析、系统评估、时间管理、财务资源管理
自我评价：我具备本科学历，专业为网络工程，目标方向是软件开发工程师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
CR0010,u010,本科,信息安全,8,上海,15-1255.00,网页与数字界面设计师,15-2031.00,运筹分析师,阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理,"{""2.A.1.a"": 0.518259, ""2.A.1.b"": 0.600362, ""2.A.1.c"": 0.451532, ""2.A.1.d"": 0.533077, ""2.A.1.e"": 0.495574, ""2.A.1.f"": 0.1997, ""2.A.2.a"": 0.583184, ""2.A.2.b"": 0.558327, ""2.A.2.c"": 0.429968, ""2.A.2.d"": 0.527774, ""2.B.1.a"": 0.377327, ""2.B.1.b"": 0.420086, ""2.B.1.c"": 0.431784, ""2.B.1.d"": 0.491997, ""2.B.1.e"": 0.453044, ""2.B.1.f"": 0.373377, ""2.B.2.i"": 0.583157, ""2.B.3.a"": 0.481433, ""2.B.3.b"": 0.405191, ""2.B.3.c"": 0.248044, ""2.B.3.d"": 0.209277, ""2.B.3.e"": 0.588139, ""2.B.3.g"": 0.313289, ""2.B.3.h"": 0.234475, ""2.B.3.j"": 0.165399, ""2.B.3.k"": 0.225715, ""2.B.3.l"": 0.224925, ""2.B.3.m"": 0.238605, ""2.B.4.e"": 0.49626, ""2.B.4.g"": 0.476365, ""2.B.4.h"": 0.483999, ""2.B.5.a"": 0.406692, ""2.B.5.b"": 0.307434, ""2.B.5.c"": 0.252659, ""2.B.5.d"": 0.324077}",在上海参与网页与数字界面设计师工作8年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。,负责网页与数字界面设计师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。,我具备本科学历，专业为信息安全，目标方向是运筹分析师。重视工程质量、团队协作和持续学习。,"求职方向：运筹分析师
教育背景：本科｜信息安全
工作经历：在上海参与网页与数字界面设计师工作8年，持续提升阅读理解、积极倾听、书面表达、口头表达等技能。
项目经历：负责网页与数字界面设计师相关项目，完成需求分析、代码实现、测试验证和上线复盘，使用信息安全知识解决实际业务问题。
技能：阅读理解、积极倾听、书面表达、口头表达、数学、批判性思维、主动学习、学习策略、监控、社会洞察、协调、说服、谈判、指导、服务导向、复杂问题解决、运营分析、技术设计、编程、运营监控、判断与决策、系统分析、系统评估、时间管理、财务资源管理、人员资源管理
自我评价：我具备本科学历，专业为信息安全，目标方向是运筹分析师。重视工程质量、团队协作和持续学习。",synthetic_chinese_resume
